Station Name,Filename,Timestamp,Duration (s)
NPR,NPR_20250308_150344_1.mp3,20250308_150344,60
NPR,NPR_20250308_150453_2.mp3,20250308_150453,60
NPR,NPR_20250308_150601_3.mp3,20250308_150601,60
NPR,NPR_20250308_150708_4.mp3,20250308_150708,60
NPR,NPR_20250308_150821_5.mp3,20250308_150821,60
NPR,NPR_20250308_150930_6.mp3,20250308_150930,60
NPR,NPR_20250308_151036_7.mp3,20250308_151036,60
NPR,NPR_20250308_151148_8.mp3,20250308_151148,60
NPR,NPR_20250308_151257_9.mp3,20250308_151257,60
NPR,NPR_20250308_151410_10.mp3,20250308_151410,60
NPR,NPR_20250308_151525_11.mp3,20250308_151525,60
NPR,NPR_20250308_151641_12.mp3,20250308_151641,60
NPR,NPR_20250308_151801_13.mp3,20250308_151801,60
NPR,NPR_20250308_151917_14.mp3,20250308_151917,60
NPR,NPR_20250308_152029_15.mp3,20250308_152029,60
NPR,NPR_20250308_152141_16.mp3,20250308_152141,60
NPR,NPR_20250308_152255_17.mp3,20250308_152255,60
NPR,NPR_20250308_152408_18.mp3,20250308_152408,60
NPR,NPR_20250308_152521_19.mp3,20250308_152521,60
NPR,NPR_20250308_152637_20.mp3,20250308_152637,60
NPR,NPR_20250308_152753_21.mp3,20250308_152753,60
NPR,NPR_20250308_152903_22.mp3,20250308_152903,60
NPR,NPR_20250308_153008_23.mp3,20250308_153008,60
NPR,NPR_20250308_153116_24.mp3,20250308_153116,60
NPR,NPR_20250308_153223_25.mp3,20250308_153223,60
NPR,NPR_20250308_153333_26.mp3,20250308_153333,60
NPR,NPR_20250308_153446_27.mp3,20250308_153446,60
NPR,NPR_20250308_153555_28.mp3,20250308_153555,60
NPR,NPR_20250308_153702_29.mp3,20250308_153702,60
NPR,NPR_20250308_153810_30.mp3,20250308_153810,60
